Configurazione,CL,Cd
Be_153_055_Be_092_075_muso,-2.206502203,0.3086846647
Be_153_055_Be_123_076_muso,-2.22311123,0.3140009976
Be_153_055_Eppler_61_muso,-2.168407,0.298664
Be_153_055_Goe431_muso,-2.223505119,0.3177791156
Be_153_055_S1210_muso,-2.22688641,0.3179408146
Be_153_055_WortmannFx_082_512_muso,-2.123880375,0.2848098566
Be_183_105_Be_092_075_muso,-1.099209,0.381549
Be_183_105_Be_123_076_muso,-1.116166875,0.3903428634
Be_183_105_Eppler_61_muso,-1.074703,0.37117
Be_183_105_Goe431_muso,-1.121596,0.393909
Be_183_105_S1210_muso,-1.120219,0.392542
Be_183_105_WortmannFx_082_512_muso,-1.054553787,0.3639459805
Eppler_396_Be_092_075_muso,-2.36837643,0.3047731766
Eppler_396_Be_123_076_muso,-2.380673487,0.3085449269
Eppler_396_Eppler_61_muso,-2.341382696,0.2885041174
Eppler_396_Goe431_muso,-2.365635806,0.3133186128
Eppler_396_S1210_muso,-2.364638076,0.3105035557
Eppler_396_WortmannFx_082_512_muso,-2.284515612,0.2772292264
be183_056_be092_075_si_muso,-2.172926,0.324454
be183_056_be123_076_si_muso,-2.226864,0.33317
be183_056_eppler61_si_muso,-2.107632,0.306761
be183_056_goe431_si_muso,-2.230906,0.336908
be183_056_s1210_si_muso,-2.222953,0.338273
be183_056_wortmann_si_muso,-2.085331,0.297022
eppler398_be092_075_si_muso,-2.339048,0.303657
eppler398_be123_076_si_muso,-2.294318,0.30837
eppler398_eppler61_si_muso,-2.278628,0.288115
eppler398_goe431_si_muso,-2.342844,0.312093
eppler398_s1210_si_muso,-2.330011,0.297108
eppler398_wortmann_si_muso,-2.249881,0.279182
naca6412_be092_075_si_muso,-2.434876,0.312738
naca6412_be123_076_si_muso,-2.444749,0.318539
naca6412_eppler61_si_muso,-2.412922,0.301206
naca6412_goe431_si_muso,-2.463809,0.325448
naca6412_s1210_si_muso,-2.451494,0.327139
naca6412_wortmann_si_muso,-2.370757,0.291115
be153-076_be092-075_muso,-2.038804,0.350885
be153-076_be123-076_muso,-2.09426,0.363884
be153-076_eppler61_muso,-2.01772,0.340548
be153-076_goe431_muso,-2.055137,0.365361
be153-076_s1210_muso,-2.054082,0.36439
be153-076_wortmannfx082-512_muso,-1.990111,0.332592
naca4412_be092-075_muso,-2.103592,0.260638
naca4412_be123-076_muso,-2.47598,0.275084
naca4412_eppler61_muso,-2.476482,0.256611
naca4412_goe431_muso,-2.377692,0.278343
naca4412_s1210_muso,-2.450294,0.277979
naca4412_wortmannfx082-512_muso,-2.372053,0.249199
s1223_be092-075_muso,-2.31719,0.359914
s1223_be123-076_muso,-2.28369,0.365334
s1223_eppler61_muso,-2.310756,0.348261
s1223_goe431_muso,-2.304504,0.367132
s1223_s1210_muso,-2.294564,0.367935
s1223_wortmannfx082-512_muso,-2.264927,0.336986
